Name,Ingredients
Whole Wheat Espresso Chocolate Streusel Cake,"baking powder, wheat flour, apricots, sour, butter cold, baking soda, sugar, vanilla, dark chocolate, brown sugar, eggs, cocoa powder, pecans, coffee decoction, butter, cinnamon powder"
Basella Fritters - Malabar Spinach Fritters,"salt, basella, corn flour, enos fruit salt baking powder, red chilli powder, water, gram flour, tomato ketchup, cumin seeds, red chilli powder the batter, turmeric powder, sunflower oil"
Fig Honey & Paprika Preserve,"red chilli flakes, figs, lemon, lemon, brown sugar"
Sepu Vadi (Himachali Split Urad Dal Dumplings In Spinach Gravy),"cumin powder, dill leaves, asafoetida, cumin seeds, black pepper powder, green chillies, salt, green chilli, spinach, mustard oil, cardamom podsseeds, red chilli powder, dry red chilli, curd, fennel powder, lemon, enos fruit salt soda, ginger, bay leaf, black urad dal, cinnamon stick, coriander powder, sunflower oil vadis, cloves"
Himachali Dry Raw Mango Chutney,"salt, coriander leaves, water, aam papad, sugar, mint leaves, green chillies"
Vegan Navratan Korma,"pistachios, carrot, onion, edible silver foilleaf, turmeric powder, green chillies, black cardamom, pineapple, cardamom podsseeds, raisins, mint leaves, tofu, garam masala powder, green beans, coconut yogurt, cauliflower, coconut oil cold pressed, red chilli powder, coconut milk, cashew nuts, ginger, saffron strands, ginger garlic paste, badam, poppy seeds, potato, cloves"
Lentils and Mixed Grains Khichda,"salt, wheat, ginger, cumin powder, chana dal, rice, green chilli, coriander leaves, asafoetida, jowar seeds, red chilli powder, cloves garlic, onion, lemon, curry leaves, bajra, turmeric powder, masoor dal, garam masala powder, sunflower oil"
Chettinad Pakora Curry,"tomato, cloves garlic, curry leaves, onion, green chillies, chana dal, sunflower oil, salt, cardamom podsseeds, dry red chillies, coconut, coriander leaves, red chilli powder, cashew nuts, sunflower oil the pakodas, bay leaf, fennel seeds, gram dal, cinnamon stick, poppy seeds, coriander powder"
Banana Pomegranate Raita - Kela Anar Raita,"salt, yogurt, red chilli powder, sugar, cumin powder take out, dijon mustard, pomegranate, banana"
Dhania Wale Aloo - Coriander Potato Dry,"cumin powder, sesame seeds dry, ginger, green chilli, ghee, coriander leaves, lemon, baby potatoes, black pepper powder, salt you can the normal salt too, garam masala powder"
Case Podimas (South Blindine Mash),"salt, ginger, green chilli, mustard seeds, coconut, curry leaves, white urad dal, onion, banana, sunflower oil"
Baked Potato-Spaghetti Rolls,"gram spaghetti pasta, salt, ginger, green chilli, potato, virgin olive oil, bread cubes seasd garlic dried rosemary, coriander leaves, pepper, lemon drops"
Rajasthani Ghasela - Besan Ka Pitta  in Hindi),"coriander leaves, turmeric powder, salt, asafoetida, red chilli powder, green onion, onion, oil, green chillies, cumin seeds, gram flour"
Andhra Bendakaya Charu - Ladies Finger Rasam,"tomato, salt, tamarind water, asafoetida, ghee, mustard seeds, red chilli powder, dry red chilli, pearl onion, sugar, curry leaves, garlic, cumin seeds, methi seeds, bhindi, coriander powder, turmeric powder"
Mexican Vegetarian Burrito Bowl,"tomato, yellow bell pepper, lettuce leaves, coriander leaves, virgin olive oil, black peppercorns, cloves garlic, chipotle chillies peppers, onion, cumin seeds, red bell pepper, rajma but not, dried oregano, sunflower oil, salt, coriander, cheddar cheese mexican cheese, del monte corn kernels fire, black olives, guacamoles, lemon, red chilli flakes, rice fluffy, green bell pepper"
Dahi Bhindi - Okra in Yogurt Curry with Caramelized Onions,"salt, coriander, ginger, ghee, red chilli powder, gram flour, curd, dry red chillies, onion, cumin seeds, bhindi, turmeric powder, garam masala powder, sunflower oil"
Palak Paneer Bhurji - Palak Paneer Bhurji,"cheese, tomato, salt, cumin, spinach, red chilli powder, cloves garlic, onion, oil, mango powder, green chillies, butter, garam masala powder"
Badam Halwa,"saffron, wheat flour, almonds, ghee, milk, sugar, almond silver"
Sweet & Spicy Vegetable Hong Kong,"salt, green beans, red bell pepper, ginger, vegetable stock, pepper, cloves garlic, carrot, soy sauce, chilli vinegar, sugar, dry red chillies, green bell pepper, tofu, red chilli sauce, corn flour mixed water, sunflower oil"
Badam Halwa,"wheat flour, ghee, milk, saffron strands, sugar, badam, almonds"
Tender Coconut Ice Cream,"tender coconut meat, tender coconut water, glazing, ice, sugar, condensed milk, c"
Milk Powder Chena Burfi,"cardamom podsseeds, ghee, pistachios, milk, saffron strands, white vinegar lime juice, sugar, yellow food colour, condensed milk, milk powder"
Carrot Orange Walnut Raita (Fruity Nutty Yogurt),"cashew nuts, orange, cumin powder, carrot, curd, salt sugar per preference, raita masala, walnuts"
Coffee Chocolate Truffles,"heavy whipping cream, instant coffee powder, dark chocolate, cocoa powder, butter"
Karnataka Ragi Ujju Rotti,"salt, water, ragi flour, ghee roasting, rice flour, sunflower oil"
Pui Shaker Chorchori - Mixed Vegetable Curry With Malabar Spinach,"salt, cumin powder, parangikai pumpkin, mustard oil vegetable oil, brinjal, potato, sugar, malabar spinach leaves stalks, dry red chillies, panch phoran masala, turmeric powder, mooli mullangi"
Potato Pancakes,"peanut oil pan, salt, chives, eggs, potato, cloves garlic, parsley, lemon, onion, pepper, flour, wheat bread crumbs"
Bamboo Shoot Stir Fry,"salt, virgin olive oil, red chilli flakes, spring onion, red yellow green bell peppers, bamboo shoots, button mushrooms cremini mushrooms"
Udupi Red Parboiled Rice Sevai (Red Rice Vermicelli),"mattaice, salt, water, coconut"
Till Wale Aloo - Sesame Potato Sabzi,"salt, cumin powder, green chilli, coriander powder, coriander leaves, potato, red chilli powder, sweet chutney, ginger paste, sesame seeds, garam masala powder, sunflower oil"
Beetroot Loni Sponge Dosa,"idli dosa batter, salt, buttermilk sour, sesame oil, curry leaves, poha, soda, rice, beetroot, green chilli paste, butter loni"
Sweet & Spicy Stuffed Paneer In Kofta Curry,"tomato, pistachios, cloves garlic, onion, cardamom powder, turmeric powder, sunflower oil, paneer cubes, salt, green chilli, cardamom podsseeds, raisins, mace, star anise, red chilli powder, curd, kasuri methi, cashew nuts, ginger, bay leaf, gram flour, badam, cinnamon stick, coriander powder, cloves"
"Sichuan Zhong Shui Jiao (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil)","salt, ginger, star anise, spring onion, green peas, soy sauce, sesame oil, water, cinnamon stick, brown sugar, flour, red chilli sauce, sesame seeds, cabbage, sunflower oil"
Spicy Baby Potatoes,"salt, cumin powder, amchur, coriander leaves, red chilli powder, dry red chilli, curry leaves, cumin seeds, lemon, baby potatoes, coriander powder, turmeric powder, garam masala powder, sunflower oil"
Barley Whole Wheat Coffee Marble Cake,"baking powder, wheat flour, salt, instant coffee powder, water, caster sugar, barley flour, eggs, butter"
Chettinad Dry Pepper Chicken,"tomato, salt, cumin powder, coriander leaves, water, ginger garlic paste, curry leaves, fennel powder, onion, black pepper powder, coriander powder, turmeric powder, chicken, sunflower oil"
Andhra Lettuce Pulp (Spinach Dal),"salt, yellow moong dal, arhar dal, tamarind water, mustard seeds, spinach leaves ed, pearl onion, curry leaves, dry red chillies, cloves garlic pound, turmeric powder, green chillies, sunflower oil"
Rich Dark Chocolate Mousse,"eggs, strained from water, natural bourbon vanilla, dark chocolate, caster sugar"
Hunase Gojju - Hunase Gojju,"salt, rasam powder red chilli powder, asafoetida, jaggery, fenugreek seeds, curry leaves, mustard, oil, tamarind paste, green chillies"
Qahwa | Arabic Coffee,"green coffee beans ground, cardamom podsseeds, saffron strands, rose water, water"
Broccoli Corn & Barley Soup,"tomato, salt, green beans, tme leaves, corn flour, sour, barley, black pepper powder, green peas, cloves garlic, carrot, virgin olive oil, basil leaves, red chilli flakes, rocket leaves spinach leaves, onion, water, sweet corn, broccoli florets"
Spirulina and Mint Basil Pesto Pasta,"yellow bell pepper, salt, tomato, tofu, green zucchini, cloves garlic, basil leaves, virgin olive oil, red chilli flakes, spirulina, badam, pasta, black pepper powder, mint leaves, dried oregano"
Goan Sando (Steamed Rice Cakes Filled With Sweet Coconut),"coconut milk toddy, basmati rice, salt, cardamom podsseeds, jaggery, dry yeast, mattaice, sugar, white urad dal, coconut grated"
"Til Moongphali Aur Kundru Sabzi - Sesame, Peanuts And Ivy Gourd Stir Fry","salt, mustard seeds, red chilli powder, tindora, curry leaves, peanuts ground, dry red chillies, coriander powder, turmeric powder, sesame seeds, sunflower oil"
Asian Honey Soy Sticky Chicken,"salt, ginger grated, chicken thighswings, soy sauce, vinegar, black pepper powder, garlic minced, sesame seeds, sesame oil olive oil"
Kaigari Pirattal (Chettinad Mixed Vegetables),"green beans, mustard seeds, coconut, fennel seeds, carrot, curry leaves, dry red chillies, onion, cumin seeds, potato, cauliflower florets, sunflower oil"
Pomegranate Frozen Margarita,"tequila, ice cubes, triple sec, orange juice, salt rimming the glass margarita salt, pomegranate juice squeezed, lemon, pomegranate fruit kernels"
Chinese Egg Fried Rice With Oats,"salt, brown rice, spring onion greens, green beans, carrot, eggs, pepper, rolled oats instant oats, cabbage, sunflower oil"
Matar Besan and Paneer Cheela - Matar Besan and Paneer Cheela,"cheese, turmeric powder, salt, ginger, cumin powder, green peas boil, oil, green chillies, gram flour"
Leftover Roti Cutlet,"salt, corn flour, amchur, black pepper powder, potato, red chilli powder, red chilli flakes, carrot, onion, phulka, lemon, wheat bread crumbs, sweet corn, green chillies"
Flourless Orange Cake With Cream Cheese Frosting,"cheese, baking powder, orange, britannia, heavy whipping cream, orange juice, sugar, almond meal, caster sugar, eggs, icing sugar, hazelnut meal"
Spicy Paneer Bhurji Pav Sandwich - ,"tomato, salt, ginger, green chilli, coriander leaves, red chilli powder, paneer crumpled, onion, pav buns butter, turmeric powder, sunflower oil"
Asian Baby Corn With Sesame Seeds and Peanut Sauce,"paprika powder, baby corn, onion, red chilli paste, sunflower oil, salt, corn flour, orange juice, light soy sauce, tofu paneer, water, red yellow green bell peppers, garlic, rice flour, sesame seeds, garlic paste, rice vinegar, orange marmalade jam, spring onion, peanuts salted"
Papaya and Carrot Halwa,"ghee, milk, saffron strands, carrot, sugar, papaya, badam, cardamom powder"
Phalguni Dal ),"tomato, green chillies, turmeric powder, ginger, salt, cumin seeds, aniseed, kalonji seeds, mustard oil, cloves garlic, mustard, fenugreek seeds, onion, asafetida, lentils, green peas, garam masala powder"
Soft Millet Taco Topped With Hummus & Veggies,"salt, wheat flour, hummus, cumin powder, jowar flour, cloves garlic, sugar, onion, broccoli, black pepper powder, bajra flour, cherry tomato, butter, sunflower oil"
Sprouted Moong And Onion Fritters,"salt, ginger, coriander leaves, green moong sprouts, red chilli powder, gram flour, onion, lemon, coriander powder, rice flour, green chillies, garam masala powder, sunflower oil"
Lemon And Ginger Spicy Black Eyed Beans,"tomato, salt, cumin powder, ginger, cloves garlic, virgin olive oil, red chilli powder red chilli flakes, coriander leaves, onion, red yellow green bell pepper, lemon, black eyed beans"
Gawar Phali Masala Sabzi - Cluster Beans Gravy Sabzi,"tomato, salt, ginger, mustard oil, asafoetida, coriander leaves, ajwain, jaggery, red chilli powder, cloves garlic, water, gawar phali, onion, peanuts, coriander powder, turmeric powder"
Corn only quiche,"salt, coriander, ginger, ghee, fennel seeds, ajwain, chaat masala powder, green peas, sweet corn, flour, green chillies, garam masala powder, sunflower oil"
Lacha Onion - Masala Pickled Onions,"salt, black salt, chaat masala powder, red chilli powder, onion, lemon"
Masala Cornflakes Chicken,"salt, corn flakes coarse powder, coriander leaves, red chilli powder, boneless chicken, ginger garlic paste, coriander powder, eggs, turmeric powder, garam masala powder, sunflower oil"
Tofu Bhurji - Spicy Scrambled Tofu,"tomato, salt, red bell pepper, green chilli, red chilli powder, coriander leaves, onion, cumin seeds, black pepper powder, tofu, turmeric powder, sunflower oil"
Savoury Bread Pudding,"salt, red bell pepper, milk, button mushrooms, cloves garlic, carrot, virgin olive oil, black pepper powder, tme leaves oregano herbs choice, onion, cheddar cheese topping, eggs, butter greasing the baking dish, green zucchini, dijon mustard, spinach leaves, wheat brown bread preferably dayold bread"
Stuffed Radish Paneer Paratha,"salt, cumin powder, ginger, wheat flour, green chilli, paneer, cloves garlic, turmeric powder, ghee the parathas, mooli mullangi, sunflower oil"
Orange Peppermint Green Tea Punch,"orange juice, tea monk seiki peppermint green tea, ginger, water"
Zucchini Tater Tots - A Party Appetizer,"salt, potato skin, red chilli flakes, wheat bread crumbs bread crumbs, thyme leaves, cheddar cheese, black pepper powder, green zucchini, dried oregano"
Moringa Masoor Dal - Drumstick Leaves Dal,"tomato, salt, ginger, green chilli, drumstick leaves, asafoetida, ghee, red chilli powder, dry red chilli, pink masoor dal, cumin seeds, lemon, coriander powder, turmeric powder"
Gujarati Methi Na Dhebra,"salt, wheat flour, jowar flour, asafoetida, methi leaves, red chilli powder, curd, sugar, sesame seeds, bajra flour, turmeric powder, green chillies, ginger ground paste, sunflower oil"
Rajasthani Gatte Ki Sabzi With Onion & Garlic,"salt, asafoetida, bay leaf, mustard seeds, ajwain, ghee, red chilli powder, cloves garlic, gram flour, curd, coriander leaves, onion, cinnamon stick, turmeric powder, cloves, sunflower oil"
Bengali Aloo Potol er Dalna - A Traditional Vegetable Side Dish,"tomato, salt, ginger, kashmiri red chilli powder, bay leaves, cardamom podsseeds, asafoetida, dry red chilli, sugar, cinnamon stick, cumin seeds, coriander powder, potato, turmeric powder, cloves, pointed gourd, garam masala powder, sunflower oil"
Egg Sholay Kebab,"salt, cumin powder, kashmiri red chilli powder, ginger, rice flour, garam masala powder, flour, cloves garlic, gram flour, curry leaves, coriander powder, eggs, sambar powder, green chilli paste, sunflower oil"
Methi Mushroom Brown Rice Pulao,"salt, brown rice, bay leaf, methi leaves, ginger garlic paste, onion, cumin seeds, cinnamon stick, cloves, button mushrooms, green chillies, sunflower oil"
Egg and Bread Fried Rice,"basmati rice, wheat brown bread, salt, sambar powder, black peppercorns, ginger garlic paste, onion, cinnamon stick, cumin seeds, eggs, cloves, sunflower oil"
Veg Mughlai Paratha,"salt, wheat flour, red bell pepper, ginger, paneer, fennel seeds, red chilli powder, cloves garlic, carrot, water, onion, green bell pepper, mint leaves, green chillies, garam masala powder, sunflower oil"
Crispy Vegetable Tempura,"baking powder, red bell pepper, salt, eggs, ice cubes, carrot, baby corn, broccoli, pepper, flour"
Andhra Stuffed Boils (Crispy Tapioke Snack),"salt, hung curd, sabudana, red chilli powder, curry leaves, onion, cumin seeds, rice flour, green chillies"
Andhra Palakura Vepudu - Spinach Stir Fry,"salt, cumin powder, ginger, spinach, red chilli powder, cloves garlic, curry leaves, onion, cumin seeds, coriander powder"
Papaya Orange Pomegranate Salad With Roasted Peanuts,"cucumber, salt, orange, chaat masala powder, lemon, papaya, peanuts, pomegranate fruit kernels, pepper"
Paka Kela Ki Sabzi | Paka Kela nu Shaak | Gujarati Jain,"salt, bananas, asafoetida, mustard seeds, red chilli powder, gram flour, curry leaves, cumin seeds, turmeric powder, sunflower oil"
Chocolate Tart,"salt, flour plus, heavy whipping cream, dark chocolate bournville, butter cold pea, water temperature be ice cold plus needed, milk, sugar, india, eggs, amul"
Navrang dal - Navrang Dal ),"tomato, kasoori methi, onion, white urad dal, salt, rajma, green chilli, kabuli chana, dal sugar, coriander powder, arhar dal, garam masala powder, kali urad dal, masoor dal, red chilli powder, green moong dal, ginger finely, ghee, ginger garlic paste, masoor dal, cumin seeds, yellow moong dal"
Green Moong Dal Sundal - Green Moong Dal Sundal,"salt, rye, cumin, coriander, coconut, asafoetida, sprouted moong, curry leaves, lemon, sesame oil, green chillies"
Chow Chow Sambar - Chow-Chow Sambar,"tomato, turmeric powder, salt, asafoetida, sesame oil oil, mustard, curry leaves, coriander, chow chow, onion, oil, red chilli, arhar dal, tamarind, sambar powder"
Tamil Nadu White Paniyaram - Semi Sweet Rice & Dal Printers,"salt, rice, milk, sugar, black urad dal, sunflower oil"
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy,"tomato, salt, mustard seeds, asafoetida, chaat masala powder, red chilli powder, water, gram flour, ginger garlic paste, curd, onion, cumin seeds, bhindi, coriander powder, turmeric powder, green chillies, sunflower oil"
Thulli (Broken Wheat Halwa),"cashew nuts, wheat, ghee, fennel seeds, milk, saffron strands, water, sugar, cardamom powder"
Gulkand Chai - A Rose Flavored Tea,"gulkand, milk, water, tea leaves"
Spinach And Tortellini Soup,"cheese, salt, vegetable stock, sunflower oil, virgin olive oil, red chilli flakes, cloves garlic, baby spinach, italian, parsley leaves, flour rolling, thyme leaves, onion, black pepper powder, flour, dried oregano"
Chak-Hao Amubi (Black Rice Pudding),"cashew nuts, black rice, milk, raisins, sugar, cardamom powder, milk full"
Four Cheese and Spinach Stuffed Mushrooms,"cheese, salt, parmesan cheese, white pepper powder, britannia, virgin olive oil, basil leaves, button mushrooms, garlic, onion, parsley leaves, garlic powder, black pepper powder, mozzarella cheese, spinach leaves, mascarp cheese"
Roasted Vegetable Pasta Primavera,"cheese, salt, parmesan cheese, white pepper powder, britannia, virgin olive oil, basil leaves, button mushrooms, garlic, onion, parsley leaves, garlic powder, black pepper powder, mozzarella cheese, spinach leaves, mascarp cheese"
Kashmiri Chicken Pulao,"cashew nuts, salt, ginger, rice, red chilli powder, cloves garlic, curd, cinnamon stick, mace, onion, badam, black pepper powder, coriander powder, chicken breasts, turmeric powder, cloves, sunflower oil"
Stuffed Tomato With Stir-Fried Quinoa And Feta,"yellow bell pepper, salt, red bell pepper, black pepper powder, tomato pulp scooped out, cheddar cheese, feta cheese, quinoa"
Keeme Ja Bhalla - Sindhi Mutton Keema Balls In Gravy,"mutton kheema, salt, tomato, ginger, cumin powder, eggs, mint leaves, red chilli powder, gram flour, coriander leaves, garlic, onion, coriander powder, green chillies, garam masala powder, sunflower oil"
Kabuli Chana Sundal - Chickpea Sundal,"salt, rye, ginger, green chilli, black gram soak cook till becomes soft, asafoetida, spoon coconut, coriander, oil"
Spinach And Corn Sandwich Flavored With Sandwich Spread,"wheat brown bread, del monte sandwich, sweet corn, spinach leaves, butter"
Spaghetti Pasta In Roasted Pumpkin Sauce,"tomato, salt, parangikai pumpkin, spaghetti pasta, basil leaves, cloves garlic, virgin olive oil, red chilli flakes, italian, onion, black pepper powder, parmesan cheese"
Cold Potato Salad With Cilantro Dressing,"coriander, salt, hung curd, mustard sauce, apple cider vinegar, virgin olive oil, red chilli flakes, baby potatoes"
Pista Burfi - Spiced Pistachio Fudge,"sugar, cardamom powder, coconut, pistachios"
No Onion No Garlic Lobia Masala In,"salt, ginger, jaggery, red chilli powder, gram flour, curry leaves, cumin seeds, tamarind paste, coriander powder, turmeric powder, green chillies, black eyed beans two"
Instant Puliodarai Powder (Puliogare / Pulihora Powder),"curry leaves pat dried, salt, sunflower seeds, asafoetida, mustard seeds, jaggery, sesame oil, black peppercorns, white urad dal, coriander seeds, sesame seeds, methi seeds, flax seeds, peanuts, dry red chillies, dry red chillies gundu milagai, tamarind, chana dal, melon seeds"
Vendakka Stew (Kerala Okra Stew),"salt, ginger, green chilli, mustard seeds, curry leaves, onion, bhindi, coconut milk, coconut oil"
Party Sev Puri Filled With Potato & Pomegranate Mint Mayo,"black salt, green chilli, coriander leaves, anardana powder, lemon, del monte mint mayo, onion, sev finer, papdi puris, potato"
Rava Chakli - Karnataka With Rava & Rice Flour,"salt, asafoetida, ajwain, chiroti rava, cumin seeds, rice flour, butter, sunflower oil"
Roasted Chickpeas,"salt, red chilli flakes, cajun spice mix, virgin olive oil, kabuli chana, garlic, garam masala powder, dried oregano"
Carrot Chutney,"salt, mustard seeds, jaggery, carrot, curry leaves, dry red chillies, sunflower oil"
Peeled Moong Dal Curry,"tomato, green chillies, salt, coriander leaves, cloves garlic, onion, cumin seeds, green moong dal, ghee, oil, turmeric powder, cloves, garam masala powder"
Chocolate Glazed Coconut Macaroons,"salt, chocolate bar, eggs, sweetened coconut flakes, vanilla, condensed milk"
Sookhi Moong Palak Dal (Whole Green Moong Gram with Spinach),"tomato, green chillies, salt, ginger, green chilli, mustard oil, coriander leaves, cloves garlic, onion, cumin seeds, green moong dal, spinach leaves"
Kerala Pacha Mango Avial,"salt, green beans, elephant yam, coconut, brinjal, ginger juliennes, potato, carrot, mango, pearl onion, curry leaves, cumin seeds, coconut oil, turmeric powder, green chillies"
Stuffed Palak Paneer Paratha,"salt, wheat flour, cumin powder, amchur, paneer, red chilli powder, water, kasuri methi, nutralite parathas, turmeric powder, spinach leaves, sunflower oil"
Meen Vevichathu - Kottayam Fish Curry,"tomato, salt, ginger, sambar powder, coconut, aachi fish masala, kokum, cloves garlic, curry leaves, coriander leaves, pearl onion, cinnamon stick, coconut oil, seer fish, turmeric powder, cloves"
Masoor Dal Gassi - Masoor Dal Gassi,"turmeric powder, salt, coconut, ghee, cloves garlic, mustard, curry leaves, dry red chillies, tamarind, coriander seeds, masoor dal"
Potato Stuffed Dal Dhokli,"tomato, coriander leaves, asafoetida, jaggery, cumin seeds, wheat flour rolling, turmeric powder, sunflower oil, salt, wheat flour, green chilli, dry red chillies, peanuts, garam masala powder, mustard seeds, red chilli powder, sugar, lemon, ginger, bay leaf, potato, curry leaves, cinnamon stick, arhar dal ground, cloves"
Green Chilli Chicken Fry - Green Chilli Chicken Fry,"coriander leaves, tomato, salt, ginger, cinnamon, cloves garlic, water, onion, chicken, green chillies can also reduce, coriander powder, lemon, oil"
Tofu and Chickpea Patty (Cutlets),"coriander, green chillies, ginger, cumin powder, salt, chaat masala powder, virgin olive oil, onion, tofu, wheat bread crumbs, kala chana"
Paneer In Coconut Gravy,"tomato, salt, ginger, coconut, water, cloves garlic, coriander seeds, onion, cumin seeds, dry red chillies, butter, garam masala powder, paneer cubes"
Keerai Masiyal,"spinach, mustard, curry leaves, amaranth leaves, asafetida, salt oil, cumin seeds, white urad dal"
Thai Som Tum (Thai Green Papaya Salad),"dried shrimps, red chillies, green beans, fish sauce soya sauce, palm sugar brown sugar, cloves garlic, papaya unripened, lemon, peanuts, cherry tomato"
Desiccated Coconut Coriander Chutney,"salt, ginger, coconut, coriander leaves, cloves garlic, cumin seeds, lemon, green chillies"
Quick Masala French Toast,"wheat brown bread, salt, green chillies, milk, red chilli flakes, coriander leaves, onion, black pepper powder, eggs, sunflower oil butter"
Kerala Tapioca with Coconut Curd Chutney,"salt, hung curd, coconut, green chillies, tapioca root"
Matcha Cookies,"butter have used salted butter, butter greasing, vanilla, caster sugar, flour, matcha powder"
"Corn Salad With Radishes, Jalapeño And Lime In Mint Mayo","salt, white pepper powder, coriander leaves, red baby radish, jalapenos, del monte mint mayo, lemon, sweet corn"
Goan Poee,"salt, wheat flour, wheat bran, tsp dry yeast, water, sugar, flour"
Chunky Cucumber Salsa,"tomato, salt, spring onion greens, coriander leaves, cloves garlic, lemon large limes, jalapenos, cucumbers, black peppercorns cracked, red onion"
Grilled Eggplant With Tahini and Yogurt Dip,"salt, tahini, brinjal, mint leaves, virgin olive oil, tzatziki, pepper, sun dried tomato dipped olive oil, pomegranate sauce"
Potato Paneer Curry Without Onion And Garlic (Vrat Wale Aloo Paneer),"tomato, salt, cumin powder, ginger, coriander leaves, paneer, red chilli powder, coriander powder, potato, green chillies, sunflower oil"
Fansi Muthia Nu Shaak - Green Beans With Gram Flour Dumplings,"salt, green beans, enos fruit salt, amchur, asafoetida, mustard seeds, ajwain, jaggery, red chilli powder, gram flour, sugar, lemon, coriander powder, turmeric powder, kasuri methi, sunflower oil"
Kerala Appam - Kerala Appam,"salt, rice, coconut, dry yeast, water, sugar"
Kashmiri Shab Deg-Mutton Kofta and Turnip Curry,"kashmiri red chilli powder, coriander leaves, ajwain, onion, badam paste, poppy seeds paste, salt, wheat flour, cardamom podsseeds, garam masala powder, water, curd, fennel powder, saffron strands, milk, ginger garlic paste, gram flour, poppy seeds, mutton, badam, coriander powder, turnips, cloves"
Tofu Banh Mi - Vietnamese Grilled Tofu Sandwich,"english cucumber, virgin olive oil, carrot, jalapenos, black pepper powder, salt, red bell pepper, soy sauce, tofu rectangular shapes, baguette, sugar, mayonnaise, pepper, mooli mullangi, sriracha sauce, chilli vinegar, coriander leaves, dry ginger powder, green bell pepper, red chilli sauce"
Sour Sweet Petha (Yellow Pumpkin Vegetable),"salt, parangikai pumpkin, amchur, coriander leaves, fennel seeds, black peppercorns, sugar, green chillies, sunflower oil"
Macher Chop (Bengali Fish Croquettes),"salt, cumin powder, ginger, mustard oil, coriander leaves, potato, red chilli powder, fish fillet, sugar, onion, garlic, wheat bread crumbs, eggs, turmeric powder, green chillies, garam masala powder"
Mixed Sprouts Sabzi,"tomato, salt, cumin powder, mixed sprouts bowls, asafoetida, coriander leaves, red chilli powder, water, ginger garlic paste, onion, cumin seeds, coriander powder, turmeric powder, green chillies, garam masala powder, sunflower oil"
Baked Muesli Tart with Strawberry Yogurt and Chia Seeds,"hung curd fatfree, salt, hung curd, strawberries, eggs, vanilla, muesli, almond meal, chia seeds, butter, cinnamon powder"
Banoffee Pie,"heavy whipping cream, bananas, digestive biscuit, dark chocolate curls, caster sugar, condensed milk, butter"
Himachal Khatta Jimikand - Spicy Tangy Yam,"salt, elephant yam, kalonji, ginger, amchur, mustard seeds, mustard oil, red chilli powder, cloves garlic, curry leaves, onion, cumin seeds, methi seeds, turmeric powder, garam masala powder, kala jeera"
Tulsi and Betel Leaves Rasam - Tulsi and Betel Leaves Rasam,"tomato, salt, ginger, asafoetida, coriander leaves, ghee, ajwain, betel leaves, tulsi, cloves garlic, water, curry leaves, mustard seeds, dry red chilli, cumin seeds, rasam powder, black pepper powder, tamarind, turmeric powder"
Prawn Ghee Roast,"salt, tamarind water, mustard seeds, fennel seeds, red chilli powder, black peppercorns, cloves garlic, ghee plus, curd, dry red chillies, coriander seeds, cumin seeds, methi seeds, lemon, turmeric powder, prawns"
Rosemary Roasted Potatoes And Pepper Salad,"salt, red bell pepper, rosemary, virgin olive oil, cloves garlic, pepper salt, baby potatoes"
Baked Roasted Vegetable Lasagna With Low Fat Cheese & Oat Sauce,"paneer, milk, green zucchini, mozzarella cheese, cloves garlic, virgin olive oil, carrot, button mushrooms, lasagna sheets the that needs no pre, instant oats"
Dharwad Peda,"sugar, milk, lemon, ghee"
Chickpea Coconut Milk Curry,"tomato, salt, cumin powder, ginger, coriander powder, ghee, chaat masala powder, red chilli powder, cloves garlic, kabuli chana, onion, coconut milk, turmeric powder, garam masala powder"
Vegan Kofta Curry,"tomato, cumin powder, asafoetida, coriander leaves, carrot, onion, cumin seeds, multigrain flour besan, green chilli paste, sunflower oil, salt, tofu, green zucchini, beetroot, garam masala powder, red chilli powder, sugar, rice flour, amchur, ginger garlic paste, cashew nuts water, bottle gourd, coriander powder, cabbage"
Chana Dal Chutney,"salt, asafoetida, coconut, mustard seeds, gram dal, curry leaves, dry red chillies, tamarind paste, sunflower oil"
Coriander Prawn Cakes,"salt, rosemary, makki ka atta, sunflower oil, leek, prawns shelled, red chilli flakes, coriander leaves, onion, thyme leaves, dried oregano" Skillet Plum Cake,"baking powder, salt, orange, milk, almond essence, plums, brown sugar, eggs, flour, butter"
Sweet Potato Dal,"tomato, green chillies, salt, coriander leaves, mustard seeds, red chilli powder, water, curry leaves, white urad dal, onion, cumin seeds, garlic, coconut oil other oil, turmeric powder, masoor dal, sweet potatoes, garam masala powder, sunflower oil"
Beetroot Millet Paniyaram,"baking powder, rice flour, ghee bfor, foxtail millet, jaggery, cardamom powder, beetroot, instant oats"
Nutty Oats Almond Truffle - A Healthy Snack,"coconut, dates water, vanilla, almond meal, dark chocolate, multigrain digestive oat biscuits, cocoa powder, flax seed powder"
Chicken and Mushroom Pot Pie,"salt, rosemary, sunflower oil, pie crust, basil leaves, cloves garlic, onion, chicken, black pepper powder, button mushrooms, dried oregano"
Lentil Sauce - Stewed Coconut Milk Sauce,"cashew nuts, yellow moong dal, coconut, ghee, milk, jaggery, cardamom powder, coconut milk, chana dal"
